text,label
@Camila_Cabello @BrunoMars ESTOY TAAAAN EMOCIONADA,1
"#AnimalesSueltos y la frutilla del postre,@AsisOberdan defendiendo a Lula.Que espanto este gnomo con zika",0
Me cayó re bien toti alvaro mono y Guille ,1
"@chrischile Qué rabia, qué impotencia, qué dolor por la cresta!",0
"@BralyMorales Me súper saque de onda porque es cierto, te deja conciencia sobre lo que hace el hombre en general, el ser humano. ",1
Cuanta basura 🚮 leo aquí vale pero entretiene ,1
@PPTenel13 Una q se dio cuenta q su pelea esta ahi.,0
Me parece que me falta una noviesita durante la semana ahno ,1
¿eso era oscuro de mí parte?,1
La gente que tuitea con el #feliz + *inserte día de la semana* es para premio,1
@secretgxrden @rcalafell Gracias! ,1
"@vegetta777 Hola Samu, como estas? Ya se te paso el enojo?",1
Me siento culpable de que este enfermo gracias a mi. 🙁,0
Que tristeza yo alistandome para ver el segundo capítulo de GOT pensando que hoy era domingo.,0
@fangirlforMila Suele pasar por andar de chismosa ,0
"Yo solo parlo cuando voy buscando algo serio al final, por eso solo he parlado al que fue mi primer amor, aún lo es ): me les deprimo mk",0
Provoca es salir corriendo de esta casa,0
Te convertiste en mi pesadilla favorita. #SebastianVillalobos #PDCs #KCAMexico,1
@karmilla46664 Cuando habla es como demasido sexi y su risa😈 BASTA. Ya caí en sus redes.,1
@Guaja7ely @lavecinarubia Si jajajajaja que suerte tienesxD esta gente está amargada,1
"@NazoC2H Trabajen vagos estudien y vuelvansen unos ""prestigiosos y honorables"" magistrados de la rama judicial #sarcasmo",1
Es abominable que mantenga sus principios en vez de unirse a la masa para mantener la popularidad #ironía,0
"#AndaYaChef#djdanymoreno ,estomago de oro....que bien se portan tus compis contigo...con lo bueno que esta el bocata de solomillo!!#venganza",1
@javier_ruescas Que video tan divertido no paraba de reir de verdad muy divertido muy guay el video saludos de guadalajara México,1
Una feminista queme una revista Playboy. Hugh Hefner debe estar super preocupado en su mansión.,0
Me voy a dormir estoy envenenado,0
EL CIELO ESTA CANSADO YA DE VERRRRRRRR LA LLUVIA CAER,0
Terrible día tuve no me puedo quejar,0
Gracias a la gente que devuelve lo que se encuentra y que alguien más perdió 😭🙏🏻,0
Un poco de alegría a las penas 😊💚,1
@QuePutana Rojo y lloroso,0
Si nos organizamos podemos ofender a todos los colectivos.,0
@el_pais Con este titular parecéis cortos de mente así sin ofender  ahí lo dejo 😂. Si se sabe otra cosa es que le deis la espalda al asunto.,0
A solo 5 dias de la segunda decisión mas importante de mi vida.💕💕💕👰👰💍💍 #ansiosa #Feliz #Enamorada.,1
"O brujas que cazan. La venganza no sirve para nada, en mi caso.",0
"Camila está tan emocionada, quiero abrazarla hasta que mis brazos ya no aguanten",1
"@Bohncs El drama, ni me wa ofender peor va eh",0
@Ass_Avar @mbmmmmmm_ JAJAJAJA eres la peor ,1
@flanchota que pelotudo mira si vas  a hacer eso teniendo tremenda mina como silvina luna...,0
Si me hablas no me enojo,1
@diariocorreo Entonces no hay disculpas es venganza. Por lo general las personas de hoy en dia toman la ley como acto de venganza....,0
Querer lo q tw hace daño jajajajaja #ironico,1
La comodidad no está peleada con el estilo. #moda #cambiodeimagen #inteligenciaemocional #modasostenible #mode #fashionemergency,1
"Ay yo los amo a ustedes, yo puedo estar amargado, obstinado o deprimido pero ustedes son tan á, me hacen reír todo el tiempo.",1
@AskingVic Estoy orgulloso de haber causado esto plox,1
Pero que ahora no me demuestran el mismo respeto. #Irónico,0
Me caga que me hablen para contarme algo y ya no me cuenten,0
Muero x saber q pasó hoy en la sentencia.  Muero x saber q pasará mañana en LAM #miedo,1
Que #ElDeforma haya sido adquirida por #SDPnoticias es una noticia digna para aparecer en El Deforma. #elMundoAlReves #ironia,0
"me encanta que me insistan cuando me enojo o que m sigan hablando cuando les clavo visto, perdon",1
Esta negra mentirosa se hace la graciosa y no le sale,0
"Decir que el PP es una Mafia es un insulto a Lucky Luciano, la Familia Genovese y tantos otros honrados delincuentes.",0
La venganza será terrible,1
Hoy le he dicho a un chico que estudiaba el pir y sabía lo que era. #Felicidad #LuegoDicenQueSiMeEnamoro,1
Veo el vídeo del juego del yogurt y me tiento de como se reía mi tía ,1
@NayibFajre @BIackPplVids De pana que me voy a vacilar mas el trash talk de las giras que la pelea jajajaja,1
Q re manden video mostrando el piso xq no hay audio #Miedo #insta #Desconocido,0
"""Lo veía y me daba cuenta de que pasaría el tiempo y cada vez que viera su sonrisa o escuchara su risa, moriría de ganas de que fuese mío"".",1
Mi vecina es la hermana de don vergas 😡 hija de @$%@+?*,0
A esta hora lo extraño más de lo normal ,0
"@madridesvida2 La coña viene por las conversaciones que me tocan, que simpatizan hacia una ideología. Pero no todos son así, por fortuna.",1
@TheOfficialA7X lamentable hoy estamos de luto,0
Qué lindo es pensarte ,1
"@ramonevich llueve en Invernalia, celebro que en la capital el tiempo sea agradable. Disfrutemos del café",1
O sea que ya no saldrá la Liga Salvadoreña en el FIFA 2018? #Ironía,0
"Anoche me enamoré de un pibe por sus ojos, pero lo vi una sola vez estoy llorando VUELVE QUE SIN TI LA VIDA SE ME VAAAAAA OOOO VUELVEEE",1
¿Cómo salirte de un grupo de WhatsApp sin que piensen que eres agria y resentida?,0
Que odio que la rabia se convierta en lágrimas,0
Que felicidad !!,1
LA PREGUNTA DEL MILLON  Soy graciosa? Ahr,1
@Grafocafe @programa_hoy Que bellos ojos. Espero no ofender..,1
Dios que tristeza y dolor Venezuela,0
@Matifulco7 que tal esa cola rota? Valio la pena?,1
Qué espanto esos chavos que tienen pareja e igual te presean. Calmenla dos rayas.   Noches ✨,0
Para que ponen funciones en su cartelera si cuando vas a llegar al cine resulta que cerraron 😠 #cinemex me fallaste #enojada,0
@MajoGasconn Qué terrible película...,0
Tengo la suerte de tener amigos de oro y por eso lo voy a festejar,1
"A #España ya se la ha olvidado el #terrorismo..Ahora los q están de moda son cuatro puercos ""independientes""con aires de impunidad.#Triste..",0
Nose desde cuando tengo esto no pero coso... Solo me siguen 72 personas q fracaso lo mio no sirvo para estas cosas ,0
Se me pasa el enojo con las pelotudeces que hace.,0
Si el Chacon llegó a Magdalena yo le doy la vuelta al mundo ,1
estaba muy ansiosa para el show en argentina obvio y fue increíble pero ahora es en mi país y voy estar con mis mejores amigas,1
Y esta soy yo. 😊,1
#Feliz#día#del#amigo#@,1
@iPxdfoot —la ojiverde esbozó una amplia sonrisa y correspondió el abrazo.— Claro dime en qué puedo ayudarte.,1
"Que irresponsabilidad ese coche que se subió en el puente peatonal de la usbi, pudo haber ocasionado un accidente grave. Que gente!!",0
"Las fotos de mi hna cuando era chiquita son la cosa mas linda, era una nena cachetona negrita con tremendo ojos😍",1
Me acabo de dar cuenta que soy la persona más cizañosa del mundo 😂 pero es divertido 😈🙊😂,1
@Nacho21GD Eso es ser cobarde.   En palabras chilenas es eso es de Maricon,0
Cuando el cuerpo te pesa como 646481311kg... y ni un yogurt bifidus te ayuda a sentirte mas ligera. #FelizMiercoles #ironia #unagruagracias,0
Que desagradable ésta negra bolita,0
@Johanapadillag @RominaVidales12 O shi tan shooolo no se hubiera pasado tan rápido el fin ,0
¿Y el Mega drenaje? ¿Alguien sabe si existe? 🤔😏,1
Que feo es traer gripe 😢,0
Los domingos son para descansar no para hacer cosas d la facultad 😒🖕🏻#enojada,0
Hoy había un señor re gracioso en el bondi y todos lo miraban con cara de culo,1
Lo peor es que dice cosas enojado y yo me río jajajajjajajaa lo amo tanto al taradito este,1
los gatos están como llorando y eso me da burda de miedo ok,0
Estoy tan amargada que a todo le encuentro peros o algo malo.,0
@RafaelCrack0911 Lo aceptó ,1
"Hay gente q critica el día del padre, de la madre, del amigo. Densos dejen de quejarse y aprovechen la excusa para ver a sus seres queridos",0
@FranchyMendez04 Vez el ejemplo debe de venir desde arriba. Pena q en la capital no siguen el ejemplo. Felicidades Santiago.,1
@DebRyanShow #Rayito yo estoy nerviosa 😂😂 Espero ganar,1
"@KioteKiote toda su carrera n malaga?37 partidos,1 temporada  jajajaja Infórmate antes bocazas,q solo sabes insultar x tú falta d argumentos",0
Es tan gracioso escuchar a un viejo diciendo que está muy mal vender droga mientras sale de una farmacia con sus 15 medicamentos,1
SM: risa radiante. Quiero tu sonrisa y tus uñas. Linda por donde te miren ♥,1
@MillosFCoficial Les falta jugadores y una camiseta bonita ... eso da pena,0
@DebRyanShow Me da mucho gusto por ti y más si es lo que te gusta !!! Éxito !! #Rayito,1
@12CarlosAndres el equipo juega a nada pero qué chucha,0
"@BorjaBarba Es en plan guerra preventiva: me siento ofendido de manera preventiva. Luego ya miró algo más, pero lo 1º ofendido y ladrando",0
Me dieron ganas de comer gomitas y por acá no venden😡😡😡,0
"la gata hija de puta me re asusto, flashe que era el momento de flotar ",0
@thekingkapo @danielh76742506 @Iturio12 @canchamural @Chivas @atlasfc Jaja que risa dan cabras,1
"En brasil la justicia no se deja mangonear,por aca unitos ya andan asustado,porq no les ponen un broche para que no huyan cobardes corruptos",0
'Perdona si te hago llorar perdona si te hago sufrir' y grita un sapucai jajajajjaa que mongolo,1
@xxpolaroid QUIERES PELEA FÍSICA?,1
estoy muy enfadado con mi perra porque me ha despertado a las 9,0
@CristianChucu26 No ni a palo 😤,0
Nunca dejen de sonreír 🌎💫  #JuanPabloJaramillo #XtiianZechTrendy #KCAMexico,1
@_GiulianaRios eeee feliz día compa💖,1
"El del uber no atropello a mi ex, media estrellita.",1
Casi me da un paro al ver a mi tío y yo con mi cara de wtff escondiendo mi bebida ,0
@arlenemusume Ufff. Es terrible. Mi ex sufría ene por eso y yo me sentía muy mal por no entregarle la ayuda que correspondía,0
"Hola, ansiedad. Pasa, llegas temprano.",0
Los políticos oficialista piden pruebas de la corrupción como q la población dominicana está ciega o perdió los ojos con el #CasoOdebrecht,0
Ese momento en que te da miedo dormirte porque no te vas a levantar 😭 #vidadearquitectos,0
Mi trabajo es horrible pero me lo banco xq esa entrada del lolla no se va a pagar sola,0
El primer paso es ponerla nerviosa. El resto viene solo.,1
Ahora por lo visto los zapatos Oxford o brogues se llaman zapatillas #ironía,0
Quiero dormir pero me agarró un dolor de cabeza tremendo 😤😤😤😤,0
@gines_natalia Buenas noches ami gordita @gines_natalia q descanses amor mañana mos vemos tequiero amor #siempre #feliz #4y7meses,1
@trafficMGTA SUSPENDIDO EL PARO DE NOCHE PORQUE DA MIEDITO LO OSCURO,0
@HiltedTardstuck Bueno aquí la agresividad en persona ,0
#TengoDerchoHaSaber porque en las escuelas ya no cantan la cancion #LosPollosDeMiCajuela #Sarcasmo,1
@NathanThom_BS Vaya...*Enarca una ceja disgustado* Mira a quien tenemos aquí...,0
"Querer eliminar un comentario y eliminar la foto, si, sólo ha mi me pasan esas cosas",0
@lasaldecolombia ¿Que dices ahora infeliz?,0
Hasta acá escucho a mi hermano coger con la novia así que en venganza rapeo-feo a todo volumen.,0
Sospechoso... #helicóptero rondando hace rato en la zona norte de #Conchalí,1
Mueran todos. ,0
y los que trasportan balones en motocicletas? yo he visto que hasta tres balones llevan..  otro peligro,0
"@laSextaTV Y su hermana sin inmutarse x la utilización dl nombre d su hermano para trincar, enfadada con carmena y tragando con su pp",0
Que aburrido son mis días de vacaciones.,0
"miraloooo, conmigo perdió todo",0
eu alejo estas nervioso por el evento? ahre jaja @AlejoIgoa,1
"Hija:Ma quien es Juan F. Velasco?Ma: No sabrás! Yo: el que canta ""baila baila mi vida..."" #sarcasmo H:No Pa ese es Juanes! #aunsepuedesalvar",1
"Mi mamá me dice que esta preocupada porque estoy loca por Flandria, y si ma lo 100to es la hija que te toco 🐥💛",1
"No se que es más triste, que me aparezcan los recuerdos cuando me saludaban por el día de amigo o la muerte de chester",0
"A pesar de que sea amistoso, a disfrutar del Derby de Manchester :)",1
"@martintetaz y Hacer comedia en polemica en el bar fue muy berreta comparando los precios del 2008 al 2017, de terror, nada q ver",0
"@kattyarg5 Muchas gracias, lo tengo todo irritado de tanto dejarlo de foto de perfil jajajaj",1
@Lauragomez_M Esa canción me la dedico un ex y le cogi rabia :( Inmadura hasta el final de mis días.,0
@PaoloCohollo De gula no te quedes corto que no hay que ser avaricioso. Mira que con el hambre le sale a uno la ira que lleva dentro.,0
"Cuando se mato #ChrisCornell con tristeza total, lo único que pensaba era que me quedaba la voz de #Chester de #LinkinPark y ahora? 😭",0
¿Esa parranda de los vecinos que ve?  Es miércoles aunque mañana sea festivo.,0
"""No te estoy diciendo que será facil, te estoy diciendo que valdrá la pena""",1
Hoy se vuelve a madrugar! ,1
"Odio mi actitud de nunca querer hacer nada, que me pregunten ""hay que hacer esto?"", decir ""si"" y seguir sin hacerlo, DALE BOLUDA HACE ALGO",0
"Son terrible las ganas de ir a la cancha, como te extraño griego de mi vidaaaa",1
¡¡FELIZ DÍA DEL AMIGO CHAMOS!! 😴😴,1
¡Qué divertido es GH! #ironía #bostezo #vergüenza #miedo #preocupación #culturaausente #primitivo #bastaya #jueguecitostontos #mejorleo,1
No voy a esperar más... Hoy mismo a ver #veronicalapelicula @sonypictures_es #veronicaveronicaveronica Luego os cuento ,1
"@Kotitas_Party @belindapop Eso pienso siempre, y aparece con un twit nuevo!!!! 😅",1
"Que asco que les roben las entradas a otros en la fila l, tanta desesperación por ir al baile, ni que fuese el último. Un asco",0
"Necesito algo en que canalizar mi ira, mi tristeza, mi vida y mi todo. Estoy infumable",0
"""Stalkear es un delito federal"", espero que me den una celda con vista a algún bueno y que tenga un buen colchón para dormir... Gracias ",1
"Lo más importante de todo esto es que la depresión es una enfermedad grave a la que no le prestan atención por considerarla ""pasajera"".",0
@____17CR es q no la he insultado ..voy a buscar los TT ya veras a lo que llama insulto,0
"@AlvaroUribeVel ""El mejor amigo"" póngase serio señor. Bla bla bla.",0
Estoy en medio de una descompostura abismal ,0
Cómo juzgan por no estar en algún buen momento... y cómo olvidan cuando siempre apoyaste en las malas #ironia,0
#MePoneBien verte llegar con una sonrisa y unos tacos 🌮,1
Jajajajajaj acá nomas por darle con un palo ,1
pobre y triste wn :) :) :) :),0
@PaauliGodoy Jaja nosotros de pedo q vemos jaja serán dados ,1
@angela_yama @AndreaCaroPuche Jajajajaa vea sin duda alguna este queda para la Historia bb ,1
Resentimiento Resentimiento™  gracias por seguirme ;),1
Si está bien padre cuando te dicen cosas bonitas ,1
"@FloorRoddriguez Ya lo subi al colectivo , esperalo ",1
"Hace años no disfrutaba de un partido de fútbol en la cancha, ahora todos transmiten en vivo la jugada había sido 😅",1
yendome a dormir sin comer pq hay una cucaracha en la cocina #tristeza,0
@BTS_twt Me pusieron una cancion Sad. Please ayuden en Peeper 😢 estamos perdiendo 😭 #Peeperbts,0
No hay nada mejor que mirarte en la ventanilla de un coche 🚗 y no darte cuenta que hay un hombre dentro partiéndose el culo 😡😡😡. #Ironia,0
"Que susto me hizo pegar Flor, lpm..😭",0
mis amigos se empezaron a reír y el cajero también 😢,0
Mi hermana. -encima salió re amargo +el que salio amargo? -el vómito   JAJAJAJAJAJAJAJA cerrrrrrrrda,1
me encanta verte sonreír,1
"No puedo ya disimular ,Te toco y empiezo a temblar",1
"@morecar89 @SimonPerera @pablo_gps @vruizaldana @Koolasuchus @Eleder_ mira que te gusta provocar, pero tienes razón, son expresiones cultura",0
creo que hoy rompí el récord de ataques de risa.💜,1
@Makpo1015 bli muy 😆,1
@diazgiles Como le hiciste ? A mi me da pánico porque si la apago se me sube el muerto o eso llamado parálisis 😰,0
En este momento estoy odiando mucho a irina ,0
@juanjorinconm Se perdió desde que salió con esa formación,0
Despertarse de esta manera no está nada bueno ,0
@MicaSuarez12 @Hugmesuarez No te gusta nada sos yo ,0
Nos pegamos terrible susto con Dai😭😂😂,0
demasiado tiempo perdido y amargada,0
"Ni en pedo, bueno en pedo si ",0
"Cuando te dicen ?sin ofender?, preparate para ser ofendido.",0
Y las verdaderas Amistades Son como un Rayo de Luz en los momentos de oscuridad**,1
@Pucpto jajajajajaj me alegras la depresión,1
"@Eury66 @MrCotorro Si fuera mujer me sentiria ofendida pero como no entonces, muerete :v",0
@Sexy__Queens @MexicoVoyeur @fersw82 @nalgometro Wowwww ese color menta se te ve genial,1
El día del amigo es re triste para las personas como yo que no tienen a nadie para desearselo,0
Se enojo porque no sabia su nombre jajajajajajjaja,1
Mi mayor miedo es presumir a alguien que me esté fallando.,0
Viste cuando la ex de tu amigo es una genia de twt pero no podes seguirla bc serias tremenda traidora,1
"@Juventud_CAJU una lastima la verdad @m8gabriel tenia un proyecto serio para el futbol, pero bue la poca visión hace que no siga el proyecto",0
Como olvidar la ultima ves q te vi sonreír 😊,1
"#JuevesIntratable Macri es ingeniero y quizas no uso antes guantes. Ok! Y vos Brancatelli que guantes te pusiste vos alguna vez,infeliz!???",0
@loisdf101 @RFPradas @peprm Menos insultar i mas aprender a respetar que haya gente que no piense como tu...,1
@1DPri1D si te extraño bien Bautister ,1
Si alguien me trae un doble cuarto juro que no me enojo,1
Descargando música y preciso la q me encanta no descargo 😡 #enojada,0
Mi vida:  *estudia 5 minutos* *procrastina 20 porque está aburrido*,0
Tengo miedo de volver a Biológicas ,0
"#votar no es legar, pegar al pueblo con la porra si. #MarcaEspaña #CatalanReferendum #1O #hemvotatihemguanyat ole la @guardiacivil #ironía",0
"#pokemonsinlimite mika, enciende todas las luces de tu casa para provocar que salte el contador, sera mejor",1
Que insoportable me pongo caundo estoy aburrido😂🤘,1
Que amargura por favor...,0
Sigo ofendida porque subieran la temporada 8 de rupaul's drag race en español. 😷,0
Sino es por Ayame (fue metida muy gratuitamente) y que lo usara para dar celos (y me daba rabia) en serio que Koga quedaba mejor con ella,0
cansado muy cansado🙄,0
Aburrida de tanto odio. Nuestro Yoochun podría haber sido tendencia por tristes motivos y fans abandonándolo por casarse.,0
@maginatefed Te quiero horrenda ahre,1
Esas veces que te pones muy nervioso y no sabes que hacer y terminas vomitando 😅,0
"@uri_r46 @policia Defienden tu derecho de imitar al Rey Misterio, sigue las normas incívico! #Ironía",0
La desesperación de Maduro es tan tangible.,0
@pastorp93 Qué pasó pana??? Ojalá no sea nada grave,1
@futpicante Que Suarez no juega para el Barca???? Jajaja,1
"Es solo enojo, por no poder comprenderte u.u",0
@el_dinamo Se huele a #Fraude entre #fraudulentos es del #terror este #fraudeamplio,0
"@Maria__Ospina Nada como ""pelea de ardillas con música de linkin park de fondo."" :v",1
"Este es uno de esos momentos en los que la nostalgia,soledad y tristeza invaden el ambiente",0
"@killthewords Te voy a mandar uno luego, estoy esperando el momento indicado...asi que prepara tu memoria ",1
@montse469 @TeresaRodr_ @BroggiElisa Hacía tiempo que no leía un tuit tan desafortunado y cateto. Opinar y ofender sin tener NI PUTA IDEA,0
Listo para ver  #veronicalapelicula de @paco_plaza! Basada en hechos reales🎬 Adrenalina 100% garantizada @YelmoCines ,1
Que es lo que más te gusto de Madrid?? #PabloAgustinResponde,1
"me habla y me pongo re nervioso,q onda con estoo",1
Ta re divertido ver las historias por el día del amigo,1
@exopcyrg anjir horror😟😟,0
"@FansDeMiyagi @ManceraMiguelMX Si un animalito en peligro les valió madres, no tienen moralidad para ganar la confianza de la gente.",0
La odio literalmente a esa Piba 😑😡,0
jijiji me pone jajajajajajaja re contenta,1
ese sentimientos de extrañar no es algo muy agradable que digamods😣,0
Me caen de la verga las mujeres que por cualquier insulto ya se ofenden pinches morras delicadas,0
@fantasmasuarez Ese cabron del niño como q siempre se quiere hacer el chistoso y lo abren buen feo en las transmisiones,0
Tengo más antojos que una embarazada ,0
"No pierdas la vida en #Banalidades #Egoísmo #Criticas #Rabia #Resentimiento Cuando cambias, comienzas a descubrir la magia de cada momento 🌈",1
"Ese momento incómodo en el que tienes hambre y quieres engañar al cuerpo con una fruta,y pues no; el cuerpo puede ser gordo pero no pendejo",0
"Cuando me dicen: “Te voy a decir algo pero no quiero que te enojes”, ya estoy enojada en un 99%. 🤦🏻‍♀️",0
"Yo también estoy cansada, y sin embargo..",1
@julietabarros10 Ya te había dicho que sos mas linda enojada ?,1
"@tioratero @ManuelaCarmena Insisto, para decir imbecilidades e insultar a la gente prueba en tu propia casa con tu propia madre, saludos",0
"No tengo tanta información para hablar sobre el suicidio, pero no deja de parecerme triste que se recurra a él #RIPChesterBennington",0
@J_manuel56 Kha?! Ni xq ya cerre cursos y termine la tesis 😢💔 *asesino de ilusiones ,0
"No hay nada mas simple y lindo que un abrazo, un beso en la frente, una risa contagiosa y sentirse bien con uno mismo",1
Acabo de votar mi carterra ,0
Qué desconsiderado @raulromeva hablando en inglés en Bruselas. Mira que no usar el francés como está mandado... #sarcasmo,0
Ok la mayoría de esos prompts de mierda en exo!g*rls si fueron elegidos pero no los míos que eran geniales. #enojada,0
@SilvinaMVeliz @Juaaaan7 @MarianoMoa98 @GabbiVillagran1 Una pesadilla,0
@dua_cabello Y claro que tienen fandom y para rato cheeee ,1
Estoy viendo películas de terror con chocolate.,0
RT = SI EL COPETE AZABACHE DE ALAN TE LLENA DE REGOCIJO  #CD9 #Coders #AlonsoVillalpandoTrendy #KCAMexico,1
Tengo q hacer algo o está ansiedad me va a consumir,0
"No bajo al que está en la cima, lo sigo subiendo hasta que le de miedo la altura.",1
"@CamiCaceres14_ @yamilarios2 Yo también quiero saber, mandame Ca ",1
"me exxxplota la cabeza, necesito dormirme ",0
"Feliz dia! X levantarme el animo cuando estoy triste,x cuando tome decisiones q no debía solo bastaba mirar tu ejemplo x hacerme feliz ❤",1
Como nos jodio la de biología con la actividad que mando ,0
Me voy a dormir avisándoles a todos que aunque me tomé todo lo que quiero no me pongo ebria como antes 😟,0
"Cansada de esperar, cansada de lo mismo",0
no me molesta que use el edit me jode que no me likeo la selfy pero tuvo el DESCARO de sacarme el edit ,0
"Alguna buena pelicula en netflix (?) Terror , suspenso ....",1
Qué triste que todo termino de esa manera. Soy muy chistosa para que me tengan mala.,0
@DaniMateoAgain Es verdad yo los ví!!. Tenían en la calle una mesita de esteticista para los casos de 1x1...#IrONía. 😂😂😂😂... #NoMeCreoNada!!,0
"@ad_Morato Ushh noo,de verdad que miedo,no sé porque siempre esas vainas molestan a los militares",0
👊El valiente vive hasta que el cobarde quiere 😒🖕,0
Google me pregunta si me atendieron rápido en un local de ropa del que recién salgo ,1
"@NoticiasCaracol @NairoQuinCo Ánimo Nairo, eres nuestro Héroe, gracias por tanta alegría que nos has brindado, otra será 👏👏👏",1
Alguien q me quiera alegrar la noche?? Porque me está por dar depresión grado 100,0
La depresión con la que vivo no es fácil...,0
"@hsaenzm Lamentablemente con la clase política que se tiene en este país muy pronto eso, será una realidad!!!",0
"@MishaelMejia ¿O ni twitter sabes utilizar? Clasista, ignorante y además bueno para nada con la tecnología ",0
"Ahora a dormir, aunque sea tarde pero temprano a levantar para darle con optimismo y alegría, venga!!!",1
"@AngelDePeloRosa Antes solia ser re depresivo, ahora controlo mejor eso",1
@Rodriguez_Aixa5 Es que estoy re resentido boluda,0
"El horóscopo me tiró un "" Cuidate de la envidia, de quien menos lo esperas es quien va a traicionarte"" ",0
Se viene el calor y nose qué voy a hacer la ropa ,0
Estoy muy aburrido 😬😒😩,0
@macpuente vas a ver Anabelle? 🤔🤔🤔🤔. #Miedo,1
"""prosperidad es invertir tu tiempo, no gastarlo"" sgt",1
@SenseandInf Así estoy yo.... ,0
Ta salado el cansancio que tengo,0
@MerliNetflix recién termine de ver la segunda temporada. Espero q pronto la compartan en la plataforma Ansiosa espero la tercera! ♡,1
"Voy a ver a Pantha Du Prince, que alegría ✨",1
"Bonito con Argos y demás. A ver pedazo de ser repugnante, si de verdad eso fuera así,  primero el video no estaría monetizado",0
"Odio poner la serie y que este en español, que cosa horrible las voces por dios",0
"Espero que después de los #atentadosBCN, nuestro #pudor a #manifestarnos para #defender nuestros #derechos, no se convierta en ",0
estoy aburrido me voy a hacer una mascarilla,0
@niniclaros @NekoJitaBlog Así es nini y hoy se siente muy fresco... El calor de días anteriores me tenia loca ,1
